Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2024,12/29/2024,Patreon* Membership,Entertainment,Sale,-2.00,
12/26/2024,12/27/2024,Spotify USA,Bills & Utilities,Sale,-10.99,
12/24/2024,12/26/2024,AREAS PORTUGAL SA,Food & Drink,Sale,-4.64,
12/24/2024,12/25/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.78,
12/24/2024,12/25/2024,KHASKY?S MARKETPLACE,Groceries,Sale,-19.77,
12/23/2024,12/25/2024,SP ALLBIRDS,Shopping,Return,220.76,
12/23/2024,12/25/2024,POMEGRANATE,Groceries,Sale,-60.42,
12/24/2024,12/24/2024,AIRALO,Shopping,Sale,-17.00,
12/23/2024,12/24/2024,SP SAVE THE DUCK,Shopping,Sale,-321.40,
12/23/2024,12/24/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/23/2024,12/24/2024,SQ *DOWNTOWN MARKET GATE,Food & Drink,Sale,-5.48,
12/23/2024,12/24/2024,SQ *DOWNTOWN MARKET GATE,Food & Drink,Sale,-6.52,
12/23/2024,12/24/2024,BE RELAX SPA JFK,Health & Wellness,Sale,-10.04,
12/23/2024,12/24/2024,M CONVENIENCE AND GIFTS I,Groceries,Sale,-10.40,
12/22/2024,12/24/2024,7-ELEVEN 33704,Gas,Sale,-10.82,
12/23/2024,12/24/2024,JOE  THE JUICE NEW YORK,Food & Drink,Sale,-12.96,
12/23/2024,12/24/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/22/2024,12/23/2024,EICHLER'S,Shopping,Sale,-7.07,
12/22/2024,12/23/2024,MY FAVORITE BAGEL,Food & Drink,Sale,-14.61,
12/22/2024,12/23/2024,M CONVENIENCE AND GIFTS I,Groceries,Sale,-41.60,
12/20/2024,12/22/2024,7-ELEVEN 36802,Gas,Sale,-5.72,
12/20/2024,12/22/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/19/2024,12/22/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
12/19/2024,12/20/2024,7-ELEVEN 33680,Gas,Sale,-3.04,
12/19/2024,12/20/2024,MIAS BAKERY BROOKLYN,Food & Drink,Sale,-5.00,
12/17/2024,12/19/2024,PRINCE ST. PIZZA,Food & Drink,Sale,-9.72,
12/18/2024,12/19/2024,SQ *GIL'S GRILL AND DELI,Food & Drink,Sale,-2.45,
12/18/2024,12/19/2024,STINKY BUDS,Groceries,Sale,-10.40,
12/17/2024,12/19/2024,76 BOWLMOR 8003425263 ARC,Entertainment,Sale,-22.00,
12/17/2024,12/19/2024,TST*ICE CREAM HOUSE - BO,Food & Drink,Sale,-17.41,
12/17/2024,12/18/2024,CVS/PHARMACY #02699,Health & Wellness,Sale,-4.99,
12/18/2024,12/18/2024,Rag and Bone Holdings  LL,Shopping,Sale,-90.00,
12/17/2024,12/18/2024,STINKY BUDS,Groceries,Sale,-10.40,
12/17/2024,12/18/2024,CVS/PHARMACY #11132,Health & Wellness,Sale,-2.65,
12/17/2024,12/18/2024,CHELSEAPIERSNRIVERPARKING,Travel,Sale,-30.00,
